# AEDGE+ characteristic-strain sensitivity curve (lower boundary of the AEDGE+ region), digitised from GW_exclusion_plot.svg
# NOTE: this is AEDGE+ (#5d9ec7), NOT AEDGE. Produced as a by-product of the AEDGE extraction with the identical method.
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel, colour #5d9ec7.
# Shapes: fill path510-2; strokes path511-5 (2-point dashed lead-in, entirely left of the frame, unused after clipping),
#   path512-2 (DASHED, whole band; the fill's lower edge follows it exactly) and path513-1 (SOLID, 0.0100 Hz -> 3.39 Hz,
#   same curve as path512-2 there at ~2x the vertex density; solid - dashed max 0.008 dex).
# Built: path512-2 clipped at the frame edge (f = 1e-6 Hz) for f < 0.0100 Hz, then path513-1 for f >= 0.0100 Hz.
#   Upward spikes near 3e-3 and 6e-3 Hz (presumably broadband response nulls) kept. Left end = frame clip; right end 3.39 Hz = curve end.
# Calibration (top-left panel; svgelements page coords in px, y down):
#   log10(f/Hz) = -6 + (x - 102.2)/28.065 ;  log10(h_c) = -15 - (y - 50.24)/18.258
# Decimation: 300 points uniform in log10 f plus Ramer-Douglas-Peucker vertices at 0.002 dex tolerance, linear in log-log.
#   Max perpendicular deviation from the full polyline: 0.0020 dex. Digitisation accuracy ~0.01 dex.
f_Hz,h_c
2.479205e-01,5.279509e-23
2.607064e-01,5.471170e-23
2.741518e-01,5.674516e-23
2.882905e-01,5.891804e-23
2.948567e-01,5.996279e-23
3.031585e-01,5.964334e-23
3.157460e-01,5.894259e-23
3.187932e-01,5.859073e-23
3.238453e-01,5.796460e-23
3.314348e-01,5.769790e-23
3.352342e-01,5.814040e-23
3.525232e-01,6.018829e-23
3.707037e-01,6.235957e-23
3.898220e-01,6.470353e-23
4.099261e-01,6.718577e-23
4.310672e-01,6.986279e-23
4.464364e-01,7.185562e-23
4.532985e-01,7.157153e-23
4.766763e-01,7.047600e-23
4.894046e-01,6.995455e-23
5.012598e-01,6.907006e-23
5.271112e-01,6.784909e-23
5.367704e-01,6.731225e-23
5.542957e-01,6.715839e-23
5.630092e-01,6.734113e-23
5.828823e-01,6.895159e-23
6.129431e-01,7.139707e-23
6.445543e-01,7.401714e-23
6.777957e-01,7.688845e-23
7.127515e-01,7.987114e-23
7.262048e-01,8.100953e-23
7.495101e-01,8.315131e-23
7.881644e-01,8.667841e-23
8.288122e-01,9.046235e-23
8.715563e-01,9.463792e-23
9.110502e-01,9.867225e-23
9.165048e-01,9.889235e-23
9.286354e-01,9.925602e-23
9.637715e-01,9.790120e-23
1.013476e+00,9.603843e-23
1.065744e+00,9.415027e-23
1.120707e+00,9.251547e-23
1.178505e+00,9.083823e-23
1.239284e+00,8.932185e-23
1.303197e+00,8.783078e-23
1.370406e+00,8.642461e-23
1.379017e+00,8.622737e-23
1.441082e+00,8.527156e-23
1.515402e+00,8.402767e-23
1.593556e+00,8.310855e-23
1.660833e+00,8.248242e-23
1.675740e+00,8.293276e-23
1.762162e+00,8.623230e-23
1.853042e+00,8.999618e-23
1.874959e+00,9.089961e-23
1.948608e+00,9.417152e-23
2.049104e+00,9.861972e-23
2.154781e+00,1.035186e-22
2.265909e+00,1.089357e-22
2.354667e+00,1.132650e-22
2.382769e+00,1.147932e-22
2.505655e+00,1.215028e-22
2.634878e+00,1.286046e-22
2.661216e+00,1.300577e-22
2.770766e+00,1.368453e-22
2.913662e+00,1.458044e-22
2.983220e+00,1.502076e-22
3.063927e+00,1.557413e-22
3.221943e+00,1.670150e-22
3.388107e+00,1.796328e-22
