# AION-km characteristic-strain sensitivity curve (solid purple #a5609d)
# Source: GW_exclusion_plot.svg, top-left panel, stroke path id 'path521-7' (fill companion 'path520-0').
#   Identified as AION-km from its label (outlined glyphs path536-7/537-6/538-9 read 'AION-km', sitting on this line)
#   and from the fifth panel, which shows only this purple curve, labelled AION-km.
#   The other purple curve (dashed, 'path523-6') is the GGN (gravity-gradient-noise) variant labelled 'GGN'; not included here.
# Calibration (svgelements page units, y down): log10(f/Hz) = -6 + (x-102.2)/28.065 ; log10(h_c) = -15 - (y-50.24)/18.258
# Caveats: endpoints are where the line meets the plot frame (top edge at low f, right edge near 1e4 Hz), not physical ends of the curve.
#   The source is a polyline of 154 vertices; resampled to 301 points uniform in log f by linear interpolation in log-log
#   (exact for the polyline; max deviation 3.2e-03 dex). Accuracy is set by the tick-mark calibration above.
f_Hz,h_c
4.639913e+02,3.075682e-20
5.003747e+02,3.193849e-20
5.396111e+02,3.316555e-20
5.819241e+02,3.443976e-20
6.275551e+02,3.576292e-20
6.767642e+02,3.713692e-20
7.298320e+02,3.856655e-20
7.870610e+02,4.006789e-20
8.487776e+02,4.162768e-20
9.153336e+02,4.324818e-20
9.871086e+02,4.493177e-20
1.064512e+03,4.668090e-20
1.147984e+03,4.849812e-20
1.238002e+03,5.037416e-20
1.335079e+03,5.231109e-20
1.439768e+03,5.432249e-20
1.552666e+03,5.641124e-20
1.674417e+03,5.858030e-20
1.805714e+03,6.083276e-20
1.947307e+03,6.317196e-20
2.100004e+03,6.562744e-20
2.264673e+03,6.817837e-20
2.442255e+03,7.082846e-20
2.633762e+03,7.358155e-20
2.840286e+03,7.644165e-20
3.063004e+03,7.941293e-20
3.303187e+03,8.249970e-20
3.562203e+03,8.560601e-20
3.841529e+03,8.882294e-20
4.142759e+03,9.216075e-20
4.467609e+03,9.562399e-20
4.817932e+03,9.921738e-20
5.195725e+03,1.029458e-19
5.603143e+03,1.068279e-19
6.042508e+03,1.112548e-19
6.516325e+03,1.154453e-19
7.027296e+03,1.197068e-19
7.578334e+03,1.250043e-19
8.172581e+03,1.290539e-19
8.813426e+03,1.349341e-19
9.504522e+03,1.391251e-19
