# Recovery of a sinusoidal phase imprinted by a light shift, one run per injected frequency
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0), Fig. 5a
# Sources: data_analysis/data/intermediate_data/signal_fitting_results_by_frequency.csv (final iteration), and data_analysis/data/precomputed_true_signals/signal_extraction_*.npz, reduced as 'data_analysis/figures/Figure 5a.ipynb' does
# Columns: injected_hz, the run's nominal frequency; curve, 'fit' for the likelihood of a sinusoid fitted to the differential phase
#   (logL above its minimum) or 'true' for the periodogram of the light-shift drive; f_hz, trial frequency; value, normalised to unit peak
injected_hz,curve,f_hz,value
0.0001,fit,8.540509320715011e-05,0.374033
0.0001,fit,8.545803163065404e-05,0.374224
0.0001,fit,8.551100286808736e-05,0.374328
0.0001,fit,8.556400693978945e-05,0.374346
0.0001,fit,8.561704386611287e-05,0.374278
0.0001,fit,8.567011366742255e-05,0.374124
0.0001,fit,8.572321636409628e-05,0.373883
0.0001,fit,8.577635197652391e-05,0.373555
0.0001,fit,8.58295205251085e-05,0.373142
0.0001,fit,8.588272203026571e-05,0.372643
0.0001,fit,8.593595651242335e-05,0.372058
0.0001,fit,8.598922399202243e-05,0.371387
0.0001,fit,8.604252448951645e-05,0.370631
0.0001,fit,8.609585802537174e-05,0.36979
0.0001,fit,8.614922462006681e-05,0.368865
0.0001,fit,8.62026242940934e-05,0.367855
0.0001,fit,8.625605706795576e-05,0.366762
0.0001,fit,8.630952296217101e-05,0.365586
0.0001,fit,8.63630219972685e-05,0.364327
0.0001,fit,8.641655419379079e-05,0.362986
0.0001,fit,8.647011957229304e-05,0.361563
0.0001,fit,8.65237181533433e-05,0.36006
0.0001,fit,8.657734995752185e-05,0.358477
0.0001,fit,8.663101500542223e-05,0.356814
0.0001,fit,8.66847133176508e-05,0.355074
0.0001,fit,8.673844491482611e-05,0.353255
0.0001,fit,8.679220981758004e-05,0.35136
0.0001,fit,8.684600804655709e-05,0.34939
0.0001,fit,8.689983962241474e-05,0.347345
0.0001,fit,8.69537045658227e-05,0.345226
0.0001,fit,8.700760289746406e-05,0.343035
0.0001,fit,8.706153463803455e-05,0.340773
0.0001,fit,8.711549980824292e-05,0.33844
0.0001,fit,8.716949842881019e-05,0.336039
0.0001,fit,8.722353052047078e-05,0.333571
0.0001,fit,8.727759610397176e-05,0.331036
0.0001,fit,8.733169520007327e-05,0.328437
0.0001,fit,8.738582782954777e-05,0.325774
0.0001,fit,8.743999401318112e-05,0.323051
0.0001,fit,8.749419377177208e-05,0.320267
0.0001,fit,8.754842712613175e-05,0.317424
0.0001,fit,8.760269409708469e-05,0.314526
0.0001,fit,8.765699470546818e-05,0.311572
0.0001,fit,8.771132897213258e-05,0.308565
0.0001,fit,8.776569691794064e-05,0.305507
0.0001,fit,8.782009856376859e-05,0.3024
0.0001,fit,8.787453393050545e-05,0.299245
0.0001,fit,8.792900303905328e-05,0.296045
0.0001,fit,8.798350591032665e-05,0.292802
0.0001,fit,8.803804256525358e-05,0.289518
0.0001,fit,8.809261302477491e-05,0.286196
0.0001,fit,8.814721730984463e-05,0.282836
0.0001,fit,8.820185544142915e-05,0.279443
0.0001,fit,8.825652744050848e-05,0.276017
0.0001,fit,8.831123332807538e-05,0.272562
0.0001,fit,8.836597312513586e-05,0.269081
0.0001,fit,8.84207468527084e-05,0.265574
0.0001,fit,8.847555453182501e-05,0.262046
0.0001,fit,8.853039618353079e-05,0.258499
0.0001,fit,8.858527182888332e-05,0.254935
0.0001,fit,8.864018148895374e-05,0.251358
0.0001,fit,8.869512518482613e-05,0.247769
0.0001,fit,8.875010293759779e-05,0.244173
0.0001,fit,8.880511476837857e-05,0.240571
0.0001,fit,8.886016069829191e-05,0.236967
0.0001,fit,8.89152407484742e-05,0.233364
0.0001,fit,8.89703549400751e-05,0.229765
0.0001,fit,8.902550329425685e-05,0.226172
0.0001,fit,8.908068583219531e-05,0.222589
0.0001,fit,8.913590257507933e-05,0.21902
0.0001,fit,8.919115354411105e-05,0.215467
0.0001,fit,8.924643876050523e-05,0.211933
0.0001,fit,8.93017582454903e-05,0.208423
0.0001,fit,8.935711202030784e-05,0.204939
0.0001,fit,8.94125001062121e-05,0.201484
0.0001,fit,8.946792252447101e-05,0.198062
0.0001,fit,8.95233792963655e-05,0.194677
0.0001,fit,8.95788704431899e-05,0.191332
0.0001,fit,8.963439598625117e-05,0.188029
0.0001,fit,8.968995594687003e-05,0.184774
0.0001,fit,8.974555034638022e-05,0.181569
0.0001,fit,8.980117920612893e-05,0.178418
0.0001,fit,8.985684254747598e-05,0.175324
0.0001,fit,8.991254039179501e-05,0.172292
0.0001,fit,8.996827276047271e-05,0.169324
0.0001,fit,9.002403967490924e-05,0.166424
0.0001,fit,9.007984115651742e-05,0.163595
0.0001,fit,9.013567722672396e-05,0.160842
0.0001,fit,9.019154790696862e-05,0.158168
0.0001,fit,9.024745321870464e-05,0.155577
0.0001,fit,9.030339318339801e-05,0.153071
0.0001,fit,9.03593678225286e-05,0.150655
0.0001,fit,9.041537715758956e-05,0.148332
0.0001,fit,9.047142121008684e-05,0.146106
0.0001,fit,9.052750000154023e-05,0.143979
0.0001,fit,9.058361355348273e-05,0.141957
0.0001,fit,9.063976188746083e-05,0.140041
0.0001,fit,9.069594502503385e-05,0.138236
0.0001,fit,9.0752162987775e-05,0.136544
0.0001,fit,9.08084157972707e-05,0.13497
0.0001,fit,9.086470347512092e-05,0.133516
0.0001,fit,9.092102604293848e-05,0.132186
0.0001,fit,9.097738352235014e-05,0.130982
0.0001,fit,9.103377593499588e-05,0.129908
0.0001,fit,9.109020330252928e-05,0.128967
0.0001,fit,9.114666564661679e-05,0.128162
0.0001,fit,9.120316298893885e-05,0.127496
0.0001,fit,9.125969535118932e-05,0.126972
0.0001,fit,9.131626275507497e-05,0.126592
0.0001,fit,9.137286522231658e-05,0.126359
0.0001,fit,9.142950277464819e-05,0.126275
0.0001,fit,9.148617543381752e-05,0.126344
0.0001,fit,9.15428832215852e-05,0.126568
0.0001,fit,9.15996261597259e-05,0.126948
0.0001,fit,9.165640427002764e-05,0.127487
0.0001,fit,9.171321757429207e-05,0.128188
0.0001,fit,9.177006609433383e-05,0.129051
0.0001,fit,9.182694985198165e-05,0.13008
0.0001,fit,9.18838688690776e-05,0.131276
0.0001,fit,9.194082316747745e-05,0.13264
0.0001,fit,9.199781276904996e-05,0.134174
0.0001,fit,9.205483769567805e-05,0.135879
0.0001,fit,9.211189796925817e-05,0.137757
0.0001,fit,9.216899361169977e-05,0.139808
0.0001,fit,9.222612464492647e-05,0.142035
0.0001,fit,9.228329109087528e-05,0.144437
0.0001,fit,9.234049297149698e-05,0.147015
0.0001,fit,9.239773030875542e-05,0.149771
