# Low laser noise (LLN): injected common phase noise std. dev. 0 turns
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0)
# Source file: data_analysis/data/intermediate_data/excitation_fraction_corrected_with_phi_hln-lnl-repeat_63132_63134_63133_63135_63150_63149_63148_63151_63164_63163_63162_63331_63333_63332_0.csv
# Its header:
#   Excitation fraction dataset with debananaization applied and debug outputs included
#   Dataset description: hln-lnl-repeat
#   RIDs = 63132, 63134, 63133, 63135, 63150, 63149, 63148, 63151, 63164, 63163, 63162, 63331, 63333, 63332
#   atom_threshold_forward: 750000.0
#   atom_threshold_backward: 400000.0
#   Git version = 1ff632a-dirty
#   Scanned parameter = Std. dev. of both phase steps in turns
#   scanned parameter value = 0.0
#   phi units: radians
# Columns: shot index; t_s, seconds since the first shot of either run; phi_rad, applied clock laser phase step;
#   excitation_bottom / excitation_top, excitation fraction of the lower ('forward') and upper ('backward') interferometer
shot,t_s,phi_rad,excitation_bottom,excitation_top
410,2647.716,2.094395,0.137218,0.154722
411,2650.911,2.855993,0.697860,0.742500
412,2654.122,3.554125,0.890457,0.865648
413,2657.317,4.696522,0.169081,0.132210
414,2679.650,5.902386,0.651004,0.687731
415,2687.095,0.253866,0.913872,0.912395
416,2690.258,4.315723,0.391437,0.341108
417,2706.169,5.775453,0.537384,0.582111
418,2715.739,1.396263,0.188850,0.153125
419,2718.966,4.125324,0.546516,0.509835
420,2722.145,1.078931,0.386973,0.357027
421,2728.520,3.300259,0.901786,0.914276
422,2744.480,3.998391,0.607325,0.568104
423,2754.016,3.807991,0.672748,0.618364
424,2763.537,0.000000,0.843601,0.864784
425,2773.076,5.204254,0.157764,0.191312
426,2785.857,6.219719,0.871579,0.883937
427,2792.246,2.919460,0.743850,0.770004
428,2798.588,3.109859,0.831457,0.846172
429,2801.767,5.013855,0.085096,0.097108
430,2804.962,2.157862,0.165390,0.189181
431,2817.711,3.236792,0.888850,0.889369
432,2820.891,1.523196,0.154518,0.131731
433,2824.101,4.379190,0.365811,0.337020
434,2833.654,1.713596,0.088004,0.100239
435,2839.996,1.015464,0.439349,0.378610
436,2843.175,5.140788,0.118670,0.126597
437,2846.339,3.173326,0.863509,0.879459
438,2868.544,4.506123,0.211030,0.176149
439,2874.935,6.092786,0.756829,0.779282
440,2878.115,3.427192,0.906539,0.891012
441,2884.489,2.411728,0.365978,0.416383
442,2887.684,2.729060,0.596648,0.634038
443,2894.074,2.792527,0.628201,0.664973
444,2900.480,4.252257,0.373726,0.327784
445,2903.675,2.030929,0.151291,0.180686
446,2906.839,3.490659,0.894143,0.888615
447,2935.468,0.190400,0.931114,0.908898
448,2938.631,4.569589,0.164448,0.157642
449,2941.810,0.444266,0.906734,0.887744
450,2944.989,1.967462,0.102071,0.115246
451,2951.331,4.061857,0.609285,0.570290
452,2954.510,1.650129,0.118645,0.113266
453,2960.900,5.838920,0.580054,0.617134
454,2970.518,6.156252,0.787889,0.815839
455,2986.382,1.142397,0.404591,0.361554
456,2989.577,5.331188,0.185859,0.223612
457,2992.758,4.188790,0.492775,0.443262
458,2995.952,0.761598,0.722836,0.683088
