# High laser noise (HLN): injected common phase noise std. dev. 2 turns
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0)
# Source file: data_analysis/data/intermediate_data/excitation_fraction_corrected_with_phi_hln-lnl-repeat_63132_63134_63133_63135_63150_63149_63148_63151_63164_63163_63162_63331_63333_63332_2.csv
# Its header:
#   Excitation fraction dataset with debananaization applied and debug outputs included
#   Dataset description: hln-lnl-repeat
#   RIDs = 63132, 63134, 63133, 63135, 63150, 63149, 63148, 63151, 63164, 63163, 63162, 63331, 63333, 63332
#   atom_threshold_forward: 750000.0
#   atom_threshold_backward: 400000.0
#   Git version = 1ff632a-dirty
#   Scanned parameter = Std. dev. of both phase steps in turns
#   scanned parameter value = 2.0
#   phi units: radians
# Columns: shot index; t_s, seconds since the first shot of either run; phi_rad, applied clock laser phase step;
#   excitation_bottom / excitation_top, excitation fraction of the lower ('forward') and upper ('backward') interferometer
shot,t_s,phi_rad,excitation_bottom,excitation_top
296,1963.035,0.063467,0.100363,0.109550
297,1966.198,5.775453,0.244251,0.284229
298,1972.575,4.252257,0.831140,0.858023
299,1975.784,2.284795,0.496875,0.541855
300,1991.680,3.173326,0.923372,0.916117
301,1994.843,0.825065,0.846582,0.800583
302,1998.007,3.300259,0.674476,0.632725
303,2010.771,0.761598,0.810698,0.821518
304,2014.030,3.998391,0.369373,0.420443
305,2020.404,2.538661,0.372675,0.401540
306,2036.348,5.965853,0.777431,0.738081
307,2049.192,3.681058,0.132293,0.120759
308,2055.551,1.459730,0.115370,0.144500
309,2058.778,4.886922,0.269589,0.226346
310,2061.974,5.711987,0.832662,0.860085
311,2068.379,3.046393,0.899079,0.893988
312,2084.243,5.458121,0.097335,0.093431
313,2087.422,5.140788,0.090409,0.084479
314,2090.586,0.951998,0.903049,0.903449
315,2096.927,1.332797,0.438997,0.449496
316,2100.107,2.348261,0.315311,0.365563
317,2115.954,4.188790,0.622494,0.652344
318,2119.118,2.792527,0.897324,0.879575
319,2122.281,6.219719,0.899926,0.897724
320,2125.476,4.759989,0.620051,0.645711
321,2131.834,6.283185,0.129821,0.150644
322,2135.045,3.554125,0.738852,0.707794
323,2138.225,5.077321,0.467712,0.415211
324,2150.959,4.633056,0.151493,0.136912
325,2157.267,4.315723,0.660186,0.705740
326,2160.447,2.221328,0.147010,0.132464
327,2163.642,3.744525,0.835280,0.857296
328,2166.822,0.000000,0.377551,0.340461
329,2182.718,1.903996,0.177395,0.193909
330,2185.911,2.157862,0.831127,0.793373
331,2205.051,1.967462,0.623587,0.651884
332,2208.229,2.602127,0.902637,0.908586
333,2211.457,5.013855,0.869619,0.888399
334,2236.891,4.379190,0.657539,0.613909
335,2240.053,0.317333,0.560051,0.497048
336,2259.176,0.888531,0.787871,0.818594
337,2265.567,3.617592,0.668922,0.623934
338,2268.745,1.840529,0.848361,0.817657
339,2271.924,1.586663,0.214866,0.241622
340,2275.104,4.823455,0.219721,0.182743
341,2278.331,3.490659,0.894627,0.908983
342,2291.015,5.331188,0.358552,0.328136
343,2294.195,0.698132,0.137388,0.159610
344,2297.389,3.871458,0.194278,0.169804
345,2300.584,5.648520,0.098819,0.088021
346,2303.763,4.442656,0.914629,0.912244
347,2313.268,5.267721,0.105650,0.090968
348,2319.626,3.807991,0.088687,0.095527
349,2322.853,0.634665,0.808839,0.837662
350,2326.033,0.253866,0.179667,0.221388
351,2335.554,0.444266,0.103918,0.090447
352,2338.734,3.934924,0.770804,0.690714
353,2341.913,4.125324,0.818843,0.831975
354,2345.108,0.507732,0.301884,0.254032
355,2351.498,5.521587,0.922302,0.916593
356,2357.842,0.571199,0.769532,0.793678
357,2361.036,0.380799,0.913831,0.917067
358,2364.199,3.427192,0.676806,0.716281
359,2370.557,1.269330,0.172074,0.143342
360,2373.721,1.015464,0.909760,0.895314
361,2376.899,4.061857,0.648342,0.683264
362,2383.274,0.190400,0.508078,0.477600
